what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.event,1.2.0.v20100108,"org.eclipse.equinox.event",1272380189616
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100304,"org.eclipse.equinox.p2.core",1272380189617
started,bundle,org.eclipse.equinox.p2.director,2.0.0.v20100311-1335,"org.eclipse.equinox.p2.director",1272380189617
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20100309-0005,"org.eclipse.equinox.p2.directorywatcher",1272380189617
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100311-1335,"org.eclipse.equinox.p2.engine",1272380189618
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100311-1843,"org.eclipse.equinox.p2.metadata",1272380189618
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.metadata.repository",1272380189619
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100309-0005,"org.eclipse.equinox.p2.operations",1272380189619
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.reconciler.dropins",1272380189619
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100310-1731,"org.eclipse.equinox.p2.repository",1272380189620
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100309-0005,"org.eclipse.equinox.p2.ui.sdk.scheduler",1272380189620
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20100309-0005,"org.eclipse.equinox.p2.updatechecker",1272380189620
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100307,"org.eclipse.equinox.preferences",1272380189621
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100301,"org.eclipse.equinox.registry",1272380189621
started,bundle,org.eclipse.equinox.security,1.0.200.v20100301,"org.eclipse.equinox.security",1272380189622
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1272380189622
started,bundle,org.eclipse.help,3.5.0.v20100304,"org.eclipse.help",1272380189623
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20091203-0315,"org.eclipse.jdt.apt.core",1272380189623
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20090922-0135,"org.eclipse.jdt.apt.pluggable.core",1272380189623
started,bundle,org.eclipse.jdt.core,3.6.0.v_A39,"org.eclipse.jdt.core",1272380189624
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100308-1800,"org.eclipse.jdt.core.manipulation",1272380189624
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100104,"org.eclipse.jdt.launching",1272380189625
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui",1272380189625
started,bundle,org.eclipse.jface,3.6.0.I20100305-0800,"org.eclipse.jface",1272380189625
started,bundle,org.eclipse.jsch.core,1.1.100.I20100112-0800,"org.eclipse.jsch.core",1272380189625
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100308-1800,"org.eclipse.ltk.core.refactoring",1272380189626
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100308-1800,"org.eclipse.ltk.ui.refactoring",1272380189627
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.core",1272380189627
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.ui",1272380189627
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1272380189627
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.commons.ui",1272380189628
started,bundle,org.eclipse.mylyn.context.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.core",1272380189628
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.ui",1272380189646
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.monitor.ui",1272380189646
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui",1272380189657
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.team.ui",1272380189657
started,bundle,org.eclipse.search,3.6.0.v20100308-1800,"org.eclipse.search",1272380189658
started,bundle,org.eclipse.team.core,3.5.100.I20100311-1214,"org.eclipse.team.core",1272380189658
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20100310-0800,"org.eclipse.team.cvs.core",1272380189659
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100311-1214,"org.eclipse.team.cvs.ui",1272380189660
started,bundle,org.eclipse.team.ui,3.5.100.I20100310-0800,"org.eclipse.team.ui",1272380189660
started,bundle,org.eclipse.ui,3.6.0.I20100311-1200,"org.eclipse.ui",1272380189661
started,bundle,org.eclipse.ui.console,3.5.0.v20100104,"org.eclipse.ui.console",1272380189661
started,bundle,org.eclipse.ui.editors,3.6.0.v20100308-1800,"org.eclipse.ui.editors",1272380189661
started,bundle,org.eclipse.ui.forms,3.5.0.v20100301,"org.eclipse.ui.forms",1272380189662
started,bundle,org.eclipse.ui.ide,3.6.0.I20100310-1300,"org.eclipse.ui.ide",1272380189669
started,bundle,org.eclipse.ui.net,1.2.100.I20100216-0800,"org.eclipse.ui.net",1272380189669
started,bundle,org.eclipse.ui.views,3.5.0.I20090914-0830,"org.eclipse.ui.views",1272380189670
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100310-1300b,"org.eclipse.ui.workbench",1272380189670
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100308-1800,"org.eclipse.ui.workbench.texteditor",1272380189671
started,bundle,org.eclipse.update.configurator,3.3.100.v20100307,"org.eclipse.update.configurator",1272380189671
started,bundle,org.eclipse.update.core,3.2.400.v20100303,"org.eclipse.update.core",1272380189678
