what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100308-1800,"org.eclipse.jdt.junit",1271075029274
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20091027-0900,"org.eclipse.jdt.apt.ui",1271075029275
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100301,"org.eclipse.jdt.debug.ui",1271075029276
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100308-1800,"org.eclipse.jdt.ui",1271075029324
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.ui",1271075029324
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.ide.ui",1271075029325
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.team.ui",1271075029325
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.resources.ui",1271075029341
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.I20100316-2000-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1271075029395
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.ui",1271075029395
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.help.ui",1271075029396
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.bugs",1271075029397
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui",1271075029397
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201002262219,"org.eclipse.wst.dtd.ui",1271075029450
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201003111758,"org.eclipse.wst.xsd.ui",1271075029462
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201003082046,"org.eclipse.wst.xml.ui",1271075029462
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1271075034940
started,bundle,org.eclipse.osgi,3.6.0.v20100301,"org.eclipse.osgi",1271075034941
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100304,"org.eclipse.equinox.simpleconfigurator",1271075034941
started,bundle,com.ibm.icu,4.2.1.v20100212,"com.ibm.icu",1271075034941
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100301,"org.eclipse.core.contenttype",1271075034942
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100310-1300,"org.eclipse.core.databinding.observable",1271075034942
started,bundle,org.eclipse.core.expressions,3.4.200.v20100222,"org.eclipse.core.expressions",1271075034943
